diagnosis_code,diagnosis_category
H43,Disorders of vitreous body and globe
H44,Disorders of vitreous body and globe
H45,Disorders of vitreous body and globe
H46,Disorders of optic nerve and visual pathways
H47,Disorders of optic nerve and visual pathways
H48,Disorders of optic nerve and visual pathways
H49,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H50,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H51,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
H53,Visual disturbances and blindness
H54,Visual disturbances and blindness
H55,Other disorders of eye and adnexa
H56,Other disorders of eye and adnexa
H57,Other disorders of eye and adnexa
H58,Other disorders of eye and adnexa
H59,Other disorders of eye and adnexa
H60,Diseases of external ear
H61,Diseases of external ear
H62,Diseases of external ear
H63,Diseases of the Ear and Mastoid Process
H64,Diseases of the Ear and Mastoid Process
H65,Diseases of middle ear and mastoid
H66,Diseases of middle ear and mastoid
H67,Diseases of middle ear and mastoid
H68,Diseases of middle ear and mastoid
H69,Diseases of middle ear and mastoid
H70,Diseases of middle ear and mastoid
H71,Diseases of middle ear and mastoid
H72,Diseases of middle ear and mastoid
H73,Diseases of middle ear and mastoid
H74,Diseases of middle ear and mastoid
H75,Diseases of middle ear and mastoid
H74,Diseases of the Ear and Mastoid Process
H75,Diseases of the Ear and Mastoid Process
H76,Diseases of the Ear and Mastoid Process
H77,Diseases of the Ear and Mastoid Process
H78,Diseases of the Ear and Mastoid Process
H79,Diseases of the Ear and Mastoid Process
H80,Diseases of inner ear
H81,Diseases of inner ear
H82,Diseases of inner ear
H83,Diseases of inner ear
H84,Otological Disorders
H85,Otological Disorders
H86,Otological Disorders
H87,Otological Disorders
H88,Otological Disorders
H89,Otological Disorders
H90,Postprocedural Disorders
H91,Postprocedural Disorders
H92,Postprocedural Disorders
H93,Postprocedural Disorders
H94,Postprocedural Disorders
H95,Postprocedural Disorders
H96,Postprocedural Disorders
H97,Postprocedural Disorders
H98,Postprocedural Disorders
H99,Postprocedural Disorders
H90,Other disorders of ear
H91,Other disorders of ear
H92,Other disorders of ear
H93,Other disorders of ear
H94,Other disorders of ear
H95,Other disorders of ear
I00,Acute rheumatic fever
I01,Acute rheumatic fever
I02,Acute rheumatic fever
I03,Ischemic Heart Diseases
I04,Ischemic Heart Diseases
I06,Cerebrovascular Diseases
I05,Chronic rheumatic heart diseases
I06,Chronic rheumatic heart diseases
I07,Chronic rheumatic heart diseases
I08,Chronic rheumatic heart diseases
I09,Chronic rheumatic heart diseases
I10,Hypertensive diseases
I11,Hypertensive diseases
I12,Hypertensive diseases
I13,Hypertensive diseases
I14,Hypertensive diseases
I15,Hypertensive diseases
I16,Hypertensive diseases
I17,Hypertensive diseases
I18,Hypertensive diseases
I19,Hypertensive diseases
I20,Ischaemic heart diseases
I21,Ischaemic heart diseases
I22,Ischaemic heart diseases
I23,Ischaemic heart diseases
I24,Ischaemic heart diseases
I25,Ischaemic heart diseases
I26,Pulmonary heart disease and diseases of pulmonary circulation
I27,Pulmonary heart disease and diseases of pulmonary circulation
I28,Pulmonary heart disease and diseases of pulmonary circulation
I29,Pulmonary heart disease and diseases of pulmonary circulation
I30,Other forms of heart disease
I31,Other forms of heart disease
I32,Other forms of heart disease
I33,Other forms of heart disease
I34,Other forms of heart disease
I35,Other forms of heart disease
I36,Other forms of heart disease
I37,Other forms of heart disease
I38,Other forms of heart disease
I39,Other forms of heart disease
I40,Other forms of heart disease
I41,Other forms of heart disease
I42,Other forms of heart disease
I43,Other forms of heart disease
I44,Other forms of heart disease
I45,Other forms of heart disease
I46,Other forms of heart disease
I47,Other forms of heart disease
I48,Other forms of heart disease
I49,Other forms of heart disease
I50,Other forms of heart disease
I51,Other forms of heart disease
I52,Other forms of heart disease
I53,Heart Failure
I54,Heart Failure
I55,Heart Failure
I56,Heart Failure
I57,Heart Failure
I58,Heart Failure
I59,Heart Failure
I60,Cerebrovascular diseases
I61,Cerebrovascular diseases
I62,Cerebrovascular diseases
I63,Cerebrovascular diseases
I64,Cerebrovascular diseases
I65,Cerebrovascular diseases
I66,Cerebrovascular diseases
I67,Cerebrovascular diseases
I68,Cerebrovascular diseases
I69,Cerebrovascular diseases
I70,"Diseases of arteries, arterioles and capillaries"
I71,"Diseases of arteries, arterioles and capillaries"
I72,"Diseases of arteries, arterioles and capillaries"
I73,"Diseases of arteries, arterioles and capillaries"
I74,"Diseases of arteries, arterioles and capillaries"
I75,"Diseases of arteries, arterioles and capillaries"
I76,"Diseases of arteries, arterioles and capillaries"
I77,"Diseases of arteries, arterioles and capillaries"
I78,"Diseases of arteries, arterioles and capillaries"
I79,"Diseases of arteries, arterioles and capillaries"
I80,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I81,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I82,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I83,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I84,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I85,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I86,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I87,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I88,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I90,"Diseases of Arteries, Arterioles and Capillaries"
I91,"Diseases of Arteries, Arterioles and Capillaries"
I92,"Diseases of Arteries, Arterioles and Capillaries"
I93,"Diseases of Arteries, Arterioles and Capillaries"
I94,"Diseases of Arteries, Arterioles and Capillaries"
I95,Other and unspecified disorders of the circulatory system
I96,Other and unspecified disorders of the circulatory system
I97,Other and unspecified disorders of the circulatory system
I98,Other and unspecified disorders of the circulatory system
I99,Other and unspecified disorders of the circulatory system
J00,Acute upper respiratory infections
J01,Acute upper respiratory infections
J02,Acute upper respiratory infections
J03,Acute upper respiratory infections
J04,Acute upper respiratory infections
J05,Acute upper respiratory infections
J06,Acute upper respiratory infections
J07,Immunization and Screening for Infectious Diseases
J08,Immunization and Screening for Infectious Diseases
J09,Influenza and pneumonia
J10,Influenza and pneumonia
J11,Influenza and pneumonia
J12,Influenza and pneumonia
J13,Influenza and pneumonia
J14,Influenza and pneumonia
J15,Influenza and pneumonia
J16,Influenza and pneumonia
J17,Influenza and pneumonia
J18,Influenza and pneumonia
J19,Influenza and pneumonia
J20,Other acute lower respiratory infections
J21,Other acute lower respiratory infections
J22,Other acute lower respiratory infections
J23,Chronic Lower Respiratory Diseases
J24,Chronic Lower Respiratory Diseases
J25,Chronic Lower Respiratory Diseases
J26,Chronic Lower Respiratory Diseases
J27,Chronic Lower Respiratory Diseases
J28,Chronic Lower Respiratory Diseases
J29,Chronic Lower Respiratory Diseases
J30,Other diseases of upper respiratory tract
J31,Other diseases of upper respiratory tract
J32,Other diseases of upper respiratory tract
J33,Other diseases of upper respiratory tract
J34,Other diseases of upper respiratory tract
J35,Other diseases of upper respiratory tract
J36,Other diseases of upper respiratory tract
J37,Other diseases of upper respiratory tract
J38,Other diseases of upper respiratory tract
J39,Other diseases of upper respiratory tract
J40,Chronic lower respiratory diseases
J41,Chronic lower respiratory diseases
J42,Chronic lower respiratory diseases
J43,Chronic lower respiratory diseases
J44,Chronic lower respiratory diseases
J45,Chronic lower respiratory diseases
J46,Chronic lower respiratory diseases
J47,Chronic lower respiratory diseases
J48,Lung Diseases due to External Agents
J49,Lung Diseases due to External Agents
J50,Lung Diseases due to External Agents
J51,Lung Diseases due to External Agents
J52,Lung Diseases due to External Agents
J53,Lung Diseases due to External Agents
J54,Lung Diseases due to External Agents
J55,Lung Diseases due to External Agents
J56,Lung Diseases due to External Agents
J57,Lung Diseases due to External Agents
J58,Lung Diseases due to External Agents
J59,Lung Diseases due to External Agents
J60,Lung Diseases due to External Agents
J61,Lung Diseases due to External Agents
J62,Lung Diseases due to External Agents
J63,Lung Diseases due to External Agents
J64,Lung Diseases due to External Agents
J65,Lung Diseases due to External Agents
J66,Lung Diseases due to External Agents
J67,Lung Diseases due to External Agents
J68,Lung Diseases due to External Agents
J69,Lung Diseases due to External Agents
J70,Lung Diseases due to External Agents
J71,"Pleural, Mediastinal and Other Chest Disorders"
J72,"Pleural, Mediastinal and Other Chest Disorders"
J73,"Pleural, Mediastinal and Other Chest Disorders"
J74,"Pleural, Mediastinal and Other Chest Disorders"
J75,"Pleural, Mediastinal and Other Chest Disorders"
J76,"Pleural, Mediastinal and Other Chest Disorders"
J77,"Pleural, Mediastinal and Other Chest Disorders"
J78,"Pleural, Mediastinal and Other Chest Disorders"
J79,"Pleural, Mediastinal and Other Chest Disorders"
J80,Other respiratory diseases principally affecting the interstitium
J81,Other respiratory diseases principally affecting the interstitium
J82,Other respiratory diseases principally affecting the interstitium
J83,Other respiratory diseases principally affecting the interstitium
J84,Other respiratory diseases principally affecting the interstitium
J85,Suppurative and necrotic conditions of lower respiratory tract
J86,Suppurative and necrotic conditions of lower respiratory tract
J87,Other Respiratory Disorders
J88,Other Respiratory Disorders
J89,Other Respiratory Disorders
J90,Other diseases of pleura
J91,Other diseases of pleura
J92,Other diseases of pleura
J93,Other diseases of pleura
J94,Other diseases of pleura
J95,Other diseases of the respiratory system
J96,Other diseases of the respiratory system
J97,Other diseases of the respiratory system
J98,Other diseases of the respiratory system
J99,Other diseases of the respiratory system
K00,"Diseases of oral cavity, salivary glands and jaws"
K01,"Diseases of oral cavity, salivary glands and jaws"
K02,"Diseases of oral cavity, salivary glands and jaws"
K03,"Diseases of oral cavity, salivary glands and jaws"
K04,"Diseases of oral cavity, salivary glands and jaws"
K05,"Diseases of oral cavity, salivary glands and jaws"
K06,"Diseases of oral cavity, salivary glands and jaws"
K07,"Diseases of oral cavity, salivary glands and jaws"
K08,"Diseases of oral cavity, salivary glands and jaws"
K09,"Diseases of oral cavity, salivary glands and jaws"
K10,"Diseases of oral cavity, salivary glands and jaws"
K11,"Diseases of oral cavity, salivary glands and jaws"
K12,"Diseases of oral cavity, salivary glands and jaws"
K13,"Diseases of oral cavity, salivary glands and jaws"
K14,"Diseases of oral cavity, salivary glands and jaws"
K15,Diseases of Oral Cavity and Salivary Glands
K16,Diseases of Oral Cavity and Salivary Glands
K17,Diseases of Oral Cavity and Salivary Glands
K18,Diseases of Oral Cavity and Salivary Glands
K19,Diseases of Oral Cavity and Salivary Glands
K20,"Diseases of oesophagus, stomach and duodenum"
K21,"Diseases of oesophagus, stomach and duodenum"
K22,"Diseases of oesophagus, stomach and duodenum"
K23,"Diseases of oesophagus, stomach and duodenum"
K24,"Diseases of oesophagus, stomach and duodenum"
K25,"Diseases of oesophagus, stomach and duodenum"
K26,"Diseases of oesophagus, stomach and duodenum"
K27,"Diseases of oesophagus, stomach and duodenum"
K28,"Diseases of oesophagus, stomach and duodenum"
K29,"Diseases of oesophagus, stomach and duodenum"
K30,"Diseases of oesophagus, stomach and duodenum"
K31,"Diseases of oesophagus, stomach and duodenum"
K32,"Diseases of Esophagus, Stomach and Duodenum"
K33,"Diseases of Esophagus, Stomach and Duodenum"
K34,"Diseases of Esophagus, Stomach and Duodenum"
K35,Diseases of appendix
K36,Diseases of appendix
K37,Diseases of appendix
K38,Diseases of appendix
K39,Hernia
K40,Hernia
K41,Hernia
K42,Hernia
K43,Hernia
K44,Hernia
K45,Hernia
K46,Hernia
K47,Noninfective Enteritis and Colitis
K48,Noninfective Enteritis and Colitis
K49,Noninfective Enteritis and Colitis
K50,Noninfective enteritis and colitis
K51,Noninfective enteritis and colitis
K52,Noninfective enteritis and colitis
K53,Other Diseases of the Digestive System
K54,Other Diseases of the Digestive System
K55,Other diseases of intestines
K56,Other diseases of intestines
K57,Other diseases of intestines
K58,Other diseases of intestines
K59,Other diseases of intestines
K60,Other diseases of intestines
K61,Other diseases of intestines
K62,Other diseases of intestines
K63,Other diseases of intestines
K64,Other diseases of intestines
K65,Diseases of peritoneum
K66,Diseases of peritoneum
K67,Diseases of peritoneum
K68,"Diseases of Oral Cavity, Salivary Glands and Jaws"
K69,"Diseases of Oral Cavity, Salivary Glands and Jaws"
K70,Diseases of liver
K71,Diseases of liver
K72,Diseases of liver
K73,Diseases of liver
K74,Diseases of liver
K75,Diseases of liver
K76,Diseases of liver
K77,Diseases of liver
K78,Other Diseases of the Digestive System
K79,Other Diseases of the Digestive System
K80,"Disorders of gallbladder, biliary tract and pancreas"
K81,"Disorders of gallbladder, biliary tract and pancreas"
K82,"Disorders of gallbladder, biliary tract and pancreas"
K83,"Disorders of gallbladder, biliary tract and pancreas"
K84,"Disorders of gallbladder, biliary tract and pancreas"
K85,"Disorders of gallbladder, biliary tract and pancreas"
K86,"Disorders of gallbladder, biliary tract and pancreas"
K87,"Disorders of gallbladder, biliary tract and pancreas"
K88,"Diseases of Oral Cavity, Salivary Glands and Jaws"
K89,"Diseases of Oral Cavity, Salivary Glands and Jaws"
K90,Other diseases of the digestive system
K91,Other diseases of the digestive system
K92,Other diseases of the digestive system
K93,Other diseases of the digestive system
K94,Other Diseases of the Digestive System
K95,Other Diseases of the Digestive System
K96,Other Diseases of the Digestive System
K97,Other Diseases of the Digestive System
K98,Other Diseases of the Digestive System
K99,Other Diseases of the Digestive System
L00,Infections of the skin and subcutaneous tissue
L01,Infections of the skin and subcutaneous tissue
L02,Infections of the skin and subcutaneous tissue
L03,Infections of the skin and subcutaneous tissue
L04,Infections of the skin and subcutaneous tissue
L05,Infections of the skin and subcutaneous tissue
L06,Infections of the skin and subcutaneous tissue
L07,Infections of the skin and subcutaneous tissue
L08,Infections of the skin and subcutaneous tissue
L09,Other disorders of skin and subcutaneous tissue
L10,Bullous disorders
L11,Bullous disorders
L12,Bullous disorders
L13,Bullous disorders
L14,Bullous disorders
L15,Bullous disorders
L16,Bullous disorders
L17,Bullous disorders
L18,Bullous disorders
L19,Bullous disorders
L20,Dermatitis and eczema
L21,Dermatitis and eczema
L22,Dermatitis and eczema
L23,Dermatitis and eczema
L24,Dermatitis and eczema
L25,Dermatitis and eczema
L26,Dermatitis and eczema
L27,Dermatitis and eczema
L28,Dermatitis and eczema
L29,Dermatitis and eczema
L30,Dermatitis and eczema
L31,Dermatitis and eczema
L32,Dermatitis and eczema
L33,Dermatitis and eczema
L34,Dermatitis and eczema
L35,Dermatitis and eczema
L36,Dermatitis and eczema
L37,Dermatitis and eczema
L38,Dermatitis and eczema
L39,Dermatitis and eczema
L40,Papulosquamous disorders
L41,Papulosquamous disorders
L42,Papulosquamous disorders
L43,Papulosquamous disorders
L44,Papulosquamous disorders
L45,Papulosquamous disorders
L46,- Papulosquamous disorders
L47,- Papulosquamous disorders
L48,- Papulosquamous disorders
L49,- Papulosquamous disorders
L50,Urticaria and erythema
L51,Urticaria and erythema
L52,Urticaria and erythema
L53,Urticaria and erythema
L54,Urticaria and erythema
L55,Radiation-related disorders of the skin and subcutaneous tissue
L56,Radiation-related disorders of the skin and subcutaneous tissue
L57,Radiation-related disorders of the skin and subcutaneous tissue
L58,Radiation-related disorders of the skin and subcutaneous tissue
L59,Radiation-related disorders of the skin and subcutaneous tissue
L60,Disorders of skin appendages
L61,Disorders of skin appendages
L62,Disorders of skin appendages
L63,Disorders of skin appendages
L64,Disorders of skin appendages
L65,Disorders of skin appendages
L66,Disorders of skin appendages
L67,Disorders of skin appendages
L68,Disorders of skin appendages
L69,Disorders of skin appendages
L70,Disorders of skin appendages
L71,Disorders of skin appendages
L72,Disorders of skin appendages
L73,Disorders of skin appendages
L74,Disorders of skin appendages
L75,Disorders of skin appendages
L76,- Other disorders of skin and subcutaneous tissue
L77,- Other disorders of skin and subcutaneous tissue
L78,- Other disorders of skin and subcutaneous tissue
L79,- Other disorders of skin and subcutaneous tissue
L80,Other disorders of the skin and subcutaneous tissue
L81,Other disorders of the skin and subcutaneous tissue
L82,Other disorders of the skin and subcutaneous tissue
L83,Other disorders of the skin and subcutaneous tissue
L84,Other disorders of the skin and subcutaneous tissue
L85,Other disorders of the skin and subcutaneous tissue
L86,Other disorders of the skin and subcutaneous tissue
L87,Other disorders of the skin and subcutaneous tissue
L88,Other disorders of the skin and subcutaneous tissue
L89,Other disorders of the skin and subcutaneous tissue
L90,Other disorders of the skin and subcutaneous tissue
L91,Other disorders of the skin and subcutaneous tissue
L92,Other disorders of the skin and subcutaneous tissue
L93,Other disorders of the skin and subcutaneous tissue
L94,Other disorders of the skin and subcutaneous tissue
L95,Other disorders of the skin and subcutaneous tissue
L96,Other disorders of the skin and subcutaneous tissue
L97,Other disorders of the skin and subcutaneous tissue
L98,Other disorders of the skin and subcutaneous tissue
L99,Other disorders of the skin and subcutaneous tissue
M00,Arthropathies
M01,Arthropathies
M02,Arthropathies
M03,Arthropathies
M04,Arthropathies
M05,Arthropathies
M06,Arthropathies
M07,Arthropathies
M08,Arthropathies
M09,Arthropathies
M10,Arthropathies
M11,Arthropathies
M12,Arthropathies
M13,Arthropathies
M14,Arthropathies
M15,Arthropathies
M16,Arthropathies
M17,Arthropathies
M18,Arthropathies
M19,Arthropathies
M20,Arthropathies
M21,Arthropathies
M22,Arthropathies
M23,Arthropathies
M24,Arthropathies
M25,Arthropathies
M24,Diseases of the Musculoskeletal System and Connective Tissue
M25,Diseases of the Musculoskeletal System and Connective Tissue
M26,Diseases of the Musculoskeletal System and Connective Tissue
M27,Diseases of the Musculoskeletal System and Connective Tissue
M28,Diseases of the Musculoskeletal System and Connective Tissue
M29,Diseases of the Musculoskeletal System and Connective Tissue
M30,Systemic connective tissue disorders
M31,Systemic connective tissue disorders
M32,Systemic connective tissue disorders
M33,Systemic connective tissue disorders
M34,Systemic connective tissue disorders
M35,Systemic connective tissue disorders
M36,Systemic connective tissue disorders
M37,Osteopathies and chondropathies
M38,Osteopathies and chondropathies
M39,Osteopathies and chondropathies
M40,Dorsopathies
M41,Dorsopathies
M42,Dorsopathies
M43,Dorsopathies
M44,Dorsopathies
M45,Dorsopathies
M46,Dorsopathies
M47,Dorsopathies
M48,Dorsopathies
M49,Dorsopathies
M50,Dorsopathies
M51,Dorsopathies
M52,Dorsopathies
M53,Dorsopathies
M54,Dorsopathies
M55,Diseases of the Musculoskeletal System and Connective Tissue
M56,Diseases of the Musculoskeletal System and Connective Tissue
M57,Diseases of the Musculoskeletal System and Connective Tissue
M58,Diseases of the Musculoskeletal System and Connective Tissue
M59,Diseases of the Musculoskeletal System and Connective Tissue
M60,Soft tissue disorders
M61,Soft tissue disorders
M62,Soft tissue disorders
M63,Soft tissue disorders
M64,Soft tissue disorders
M65,Soft tissue disorders
M66,Soft tissue disorders
M67,Soft tissue disorders
M68,Soft tissue disorders
M69,Soft tissue disorders
M70,Soft tissue disorders
M71,Soft tissue disorders
M72,Soft tissue disorders
M73,Soft tissue disorders
M74,Soft tissue disorders
M75,Soft tissue disorders
M76,Soft tissue disorders
M77,Soft tissue disorders
M78,Soft tissue disorders
M79,Soft tissue disorders
M80,Osteopathies and chondropathies
M81,Osteopathies and chondropathies
M82,Osteopathies and chondropathies
M83,Osteopathies and chondropathies
M84,Osteopathies and chondropathies
M85,Osteopathies and chondropathies
M86,Osteopathies and chondropathies
M87,Osteopathies and chondropathies
M88,Osteopathies and chondropathies
M89,Osteopathies and chondropathies
M90,Osteopathies and chondropathies
M91,Osteopathies and chondropathies
M92,Osteopathies and chondropathies
M93,Osteopathies and chondropathies
M94,Osteopathies and chondropathies
M95,Other disorders of the musculoskeletal system and connective tissue
M96,Other disorders of the musculoskeletal system and connective tissue
M97,Other disorders of the musculoskeletal system and connective tissue
M98,Other disorders of the musculoskeletal system and connective tissue
M99,Other disorders of the musculoskeletal system and connective tissue
N00,Glomerular diseases
N01,Glomerular diseases
N02,Glomerular diseases
N03,Glomerular diseases
N04,Glomerular diseases
N05,Glomerular diseases
N06,Glomerular diseases
N07,Glomerular diseases
N08,Glomerular diseases
N09,Unspecified kidney failure
N10,Renal tubulo-interstitial diseases
N11,Renal tubulo-interstitial diseases
N12,Renal tubulo-interstitial diseases
N13,Renal tubulo-interstitial diseases
N14,Renal tubulo-interstitial diseases
N15,Renal tubulo-interstitial diseases
N16,Renal tubulo-interstitial diseases
N15,Renal and ureteral calculus
N17,Renal failure
N18,Renal failure
N19,Renal failure
N20,Urolithiasis
N21,Urolithiasis
N22,Urolithiasis
N23,Urolithiasis
N24,Other disorders of kidney and ureter
N25,Other disorders of kidney and ureter
N26,Other disorders of kidney and ureter
N27,Other disorders of kidney and ureter
N28,Other disorders of kidney and ureter
N29,Other disorders of kidney and ureter
N30,Other diseases of urinary system
N31,Other diseases of urinary system
N32,Other diseases of urinary system
N33,Other diseases of urinary system
N34,Other diseases of urinary system
N35,Other diseases of urinary system
N36,Other diseases of urinary system
N37,Other diseases of urinary system
N38,Other diseases of urinary system
N39,Other diseases of urinary system
N40,Diseases of male genital organs
N41,Diseases of male genital organs
N42,Diseases of male genital organs
N43,Diseases of male genital organs
N44,Diseases of male genital organs
N45,Diseases of male genital organs
N46,Diseases of male genital organs
N47,Diseases of male genital organs
N48,Diseases of male genital organs
N49,Diseases of male genital organs
N50,Diseases of male genital organs
N51,Diseases of male genital organs
N52,Other disorders of the genitourinary system
N53,Other disorders of the genitourinary system
N54,Other disorders of the genitourinary system
N55,Other disorders of the genitourinary system
N56,Other disorders of the genitourinary system
N57,Other disorders of the genitourinary system
N58,Other disorders of the genitourinary system
N59,Other disorders of the genitourinary system
N60,Disorders of breast
N61,Disorders of breast
N62,Disorders of breast
N63,Disorders of breast
N64,Disorders of breast
N65,Other disorders of the genitourinary system
N66,Other disorders of the genitourinary system
N67,Other disorders of the genitourinary system
N68,Other disorders of the genitourinary system
N69,Other disorders of the genitourinary system
N70,Inflammatory diseases of female pelvic organs
N71,Inflammatory diseases of female pelvic organs
N72,Inflammatory diseases of female pelvic organs
N73,Inflammatory diseases of female pelvic organs
N74,Inflammatory diseases of female pelvic organs
N75,Inflammatory diseases of female pelvic organs
N76,Inflammatory diseases of female pelvic organs
N77,Inflammatory diseases of female pelvic organs
N78,Other disorders of the genitourinary system
N79,Other disorders of the genitourinary system
N80,Noninflammatory disorders of female genital tract
N81,Noninflammatory disorders of female genital tract
N82,Noninflammatory disorders of female genital tract
N83,Noninflammatory disorders of female genital tract
N84,Noninflammatory disorders of female genital tract
N85,Noninflammatory disorders of female genital tract
N86,Noninflammatory disorders of female genital tract
N87,Noninflammatory disorders of female genital tract
N88,Noninflammatory disorders of female genital tract
N89,Noninflammatory disorders of female genital tract
N90,Noninflammatory disorders of female genital tract
N91,Noninflammatory disorders of female genital tract
N92,Noninflammatory disorders of female genital tract
N93,Noninflammatory disorders of female genital tract
N94,Noninflammatory disorders of female genital tract
N95,Noninflammatory disorders of female genital tract
N96,Noninflammatory disorders of female genital tract
N97,Noninflammatory disorders of female genital tract
N98,Noninflammatory disorders of female genital tract
N99,Other disorders of the genitourinary system
CKD,Chronic Kidney Disease (CKD)
